Adult (15) literacy rate;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Djibouti;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;67.9
Dominica;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Dominican Rep.;-1;-1;-1;-1;-1;-1;73.06456854;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;86.99646746;-1;-1;-1;-1;88.2444613;-1;-1;89.53873319;90.10626788
Ecuador;-1;-1;-1;-1;-1;-1;-1;83.55268606;-1;-1;-1;-1;-1;-1;-1;88.29876298;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;90.9840256;-1;-1;-1;-1;-1;84.19272288;-1;84.20696478;91.85404065;91.58689849
Egypt;-1;38.19676456;-1;-1;-1;-1;-1;-1;-1;-1;-1;44.42399332;-1;-1;-1;-1;-1;-1;-1;-1;-1;55.58699669;-1;-1;-1;-1;-1;-1;-1;-1;71.40886361;66.36990704;-1;-1;-1;72.04785265;72.95671945
El Salvador;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;74.14316182;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;79.82584;-1;83.55945767;82.02863414;83.95130498;84.10288775;84.4927239;-1
Equatorial Guinea;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;88.30830111;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;94.22589
Eritrea;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;52.51395125;-1;-1;-1;-1;-1;-1;-1;-1;68.93744
Estonia;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.72644075;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.76719592;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.79689
Ethiopia;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;27.01135531;-1;-1;-1;-1;-1;-1;-1;-1;-1;35.9;29.82033796;-1;38.99598154;-1;-1;-1;38.99598154
Fiji;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;93.7
Finland;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.8
France;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.0
Gabon;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;72.23367189;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;83.80069;-1;-1;-1;-1;-1;-1;88.98886
Gambia;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;36.81772659;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;51.10727
Georgia;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.65234895;-1;-1;-1;-1;-1;-1;-1;-1;99.73247
Germany;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;99.0
